,Route_name,Route_link,Bus_name,Bus_type,Depature_time,Duration,Reaching_time,Rating,Price,Seat_Available
0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,JKRTC - 172597,Volvo AC Seater (2+2),13:00,24h 00m,13:00,4.5,INR 2568.58,34 Seats available
1,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,5.0,2058,27 Seats available
2,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,A/C Sleeper (2+1),21:35,19h 30m,17:05,4.7,2169,27 Seats available
3,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,JKRTC - 169882,A/C Seater Executive (2+1),07:30,01h 00m,08:30,1.2,INR 166,19 Seats available
4,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),02:55,00h 30m,03:25,3.0,249,53 Seats available
5,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Bhawani Travels,A/C Sleeper (2+2),03:40,01h 50m,05:30,3.8,INR 500,22 Seats available
6,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),05:00,01h 00m,06:00,3.6,399,34 Seats available
7,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),05:50,01h 00m,06:50,3.0,299,51 Seats available
8,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),06:00,01h 30m,07:30,4.4,INR 579,40 Seats available
9,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),06:15,04h 55m,11:10,4.4,312,5 Seats available
10,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,City Land Travels,A/C Seater/Sleeper (2+1),07:30,01h 00m,08:30,3.5,486,30 Seats available
