,Route_name,Route_link,Bus_name,Bus_type,Depature_time,Duration,Reaching_time,Rating,Price,Seat_Available
0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35188,VENNELA (A.C. SLEEPER),00:40,05h 45m,06:25,4.9,INR 737,13 Seats available
1,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3563,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,06h 15m,07:15,3.5,INR 412,29 Seats available
2,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35266,VENNELA (A.C. SLEEPER),01:25,05h 45m,07:10,4.1,INR 737,7 Seats available
3,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:45,06h 15m,08:00,4.7,INR 412,32 Seats available
4,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3058,VENNELA (A.C. SLEEPER),02:10,05h 45m,07:55,3.9,INR 737,11 Seats available
5,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35197,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),03:10,05h 25m,08:35,4.8,INR 633,45 Seats available
6,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35190,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),04:10,05h 20m,09:30,3.6,INR 633,42 Seats available
7,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3558,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:20,05h 00m,09:20,4.4,INR 633,9 Seats available
8,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35267,INDRA(A.C. Seater),04:40,05h 24m,10:04,3.4,INR 498,22 Seats available
9,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:45,07h 20m,12:05,3.6,INR 412,13 Seats available
10,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3586,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),05:10,05h 15m,10:25,4.3,INR 720,22 Seats available
11,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35196,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:50,07h 00m,12:50,4.1,INR 412,25 Seats available
12,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35062,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:55,06h 55m,12:50,3.4,INR 412,30 Seats available
13,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35274,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),06:10,05h 24m,11:34,3.8,INR 720,15 Seats available
14,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 23701,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:15,06h 15m,12:30,3.9,INR 436,31 Seats available
