,Route_name,Route_link,Bus_name,Bus_type,Depature_time,Duration,Reaching_time,Rating,Price,Seat_Available
0,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0134,Janrath AC Seater 2+3,00:31,05h 00m,05:31,1.8,INR 570,48 Seats available
1,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0112,Janrath AC Seater 2+2,05:31,04h 44m,10:15,2.8,INR 648,30 Seats available
2,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0229,Ordinary Non AC Seater 2+3,06:00,06h 30m,12:30,3.3,INR 459,52 Seats available
3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0161,Ordinary Non AC Seater 2+3,06:00,07h 16m,13:16,3.3,INR 492,52 Seats available
4,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0129,Janrath AC Seater 2+2,06:01,05h 00m,11:01,3.8,INR 648,36 Seats available
5,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0230,Ordinary Non AC Seater 2+3,06:30,06h 30m,13:00,3.3,INR 459,52 Seats available
6,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - NDD0236,Ordinary Non AC Seater 2+3,06:59,06h 01m,13:00,3.3,INR 479,52 Seats available
7,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0232,Ordinary Non AC Seater 2+3,07:00,06h 30m,13:30,3.3,INR 459,52 Seats available
8,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0304,Ordinary Non AC Seater 2+3,07:10,07h 22m,14:32,3.3,INR 448,52 Seats available
9,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0233,Ordinary Non AC Seater 2+3,07:30,06h 30m,14:00,3.3,INR 459,52 Seats available
10,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0360,Ordinary Non AC Seater 2+3,07:42,06h 54m,14:36,3.3,INR 448,52 Seats available
11,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0361,Ordinary Non AC Seater 2+3,08:00,06h 31m,14:31,3.3,INR 492,52 Seats available
12,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - ARH0118,Ordinary Non AC Seater 2+3,08:01,04h 09m,12:10,3.3,INR 462,51 Seats available
13,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0597,Ordinary Non AC Seater 2+3,08:30,06h 59m,15:29,3.3,INR 459,52 Seats available
14,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0374,Ordinary Non AC Seater 2+3,08:30,06h 33m,15:03,3.3,INR 448,52 Seats available
15,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0140,Janrath AC Seater 2+2,08:47,05h 43m,14:30,2.4,INR 648,36 Seats available
16,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0071,Janrath AC Seater 2+2,09:02,06h 14m,15:16,3.3,INR 648,32 Seats available
17,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - KSB0085,Volvo AC Seater 2+2,09:31,05h 00m,14:31,4.4,INR 894,37 Seats available
18,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0845,Shatabdi AC Seater 2+2,10:05,05h 00m,15:05,3.3,INR 648,37 Seats available
19,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0001,Ordinary Non AC Seater 2+3,10:20,05h 40m,16:00,3.3,INR 444,52 Seats available
20,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - MDD0050,Ordinary Non AC Seater 2+3,10:25,05h 20m,15:45,3.3,INR 448,52 Seats available
21,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0124,Shatabdi AC Seater 2+2,10:31,05h 00m,15:31,4.6,INR 648,35 Seats available
22,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0002,Ordinary Non AC Seater 2+3,10:40,05h 50m,16:30,3.3,INR 488,52 Seats available
23,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0003,Ordinary Non AC Seater 2+3,11:00,06h 00m,17:00,3.3,INR 444,52 Seats available
24,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - PLB0004,Shatabdi AC Seater 2+2,11:00,05h 50m,16:50,4.0,INR 648,37 Seats available
25,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0004,Ordinary Non AC Seater 2+3,11:20,06h 10m,17:30,3.3,INR 444,52 Seats available
26,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HPR0005,Ordinary Non AC Seater 2+3,11:40,06h 20m,18:00,3.3,INR 444,52 Seats available
27,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0127,Shatabdi AC Seater 2+2,11:49,05h 00m,16:49,3.9,INR 648,37 Seats available
28,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0127,Ordinary Non AC Seater 2+3,12:00,06h 30m,18:30,3.3,INR 449,52 Seats available
